id,slope,elevation,rain_mean_year,soil_type,dist_river,rain_forecast_24h,label
1,17,788,2596,Type 1,1863,14,0
2,5,72,2210,Type 1,307,20,0
3,31,1708,2213,Type 1,10361,20,0
4,12,564,2017,Type 1,2072,13,0
5,2,367,2520,Type 1,16185,19,0
6,33,214,2055,Type 1,3733,17,1
7,20,403,2411,Type 1,2172,16,0
8,14,168,1913,Type 1,1803,15,0
9,16,606,2624,Type 1,7585,18,0
10,31,1866,2265,Type 1,2604,13,0
11,7,757,1851,Type 1,9653,11,0
12,32,2362,2648,Type 2,4008,15,0
13,4,66,2204,Type 1,1956,16,0
14,25,2115,1995,Type 2,4907,11,0
15,29,495,2421,Type 1,12227,16,0
16,0,586,1979,Type 1,6737,11,0
17,23,620,2430,Type 1,8818,14,0
18,18,971,2219,Type 1,459,15,0
19,7,1468,2310,Type 1,5020,15,0
20,9,373,2059,Type 1,14409,15,0
21,9,562,2483,Type 1,9814,16,0
22,6,62,2210,Type 1,1022,20,0
23,7,1833,1816,Type 1,3985,12,0
24,19,159,2106,Type 1,1173,16,0
25,11,910,2199,Type 1,2027,15,0
26,20,264,1935,Type 1,6737,15,0
27,2,90,2064,Type 1,5347,17,0
28,4,923,2174,Type 1,4837,13,0
29,19,868,1949,Type 1,5872,12,0
30,38,303,1992,Type 1,9982,19,0
31,20,121,0,Type 1,588,0,0
32,18,227,1992,Type 1,10260,19,0
33,8,95,2184,Type 1,3406,16,0
34,12,952,1979,Type 1,8564,11,0
35,23,325,2415,Type 1,10111,18,0
36,37,150,2280,Type 1,8215,17,0
37,26,182,1923,Type 1,6577,13,0
38,34,342,2813,Type 1,13513,19,0
39,12,700,2140,Type 1,5689,13,0
40,27,200,2151,Type 1,2780,16,0
41,26,272,2113,Type 1,5504,16,0
42,20,1049,2294,Type 1,3342,14,0
43,9,1165,2108,Type 1,8083,13,0
44,26,605,1979,Type 1,8296,11,0
45,10,244,1955,Type 1,20924,17,0
46,8,129,2572,Type 1,8698,19,0
47,16,171,2597,Type 1,7260,18,0
48,30,960,1973,Type 1,1969,11,0
49,19,277,2329,Type 1,6098,18,0
50,34,777,2177,Type 1,4336,14,0
51,27,502,1680,Type 1,3811,11,0
52,21,469,0,Type 1,919,0,0
53,19,531,2411,Type 1,4430,16,0
54,21,317,2383,Type 1,1444,19,0
55,27,333,2421,Type 1,12653,16,0
56,24,277,2064,Type 1,1909,15,0
57,14,76,2210,Type 1,16897,20,0
58,30,542,1923,Type 1,4652,13,0
59,11,1406,2083,Type 1,7867,12,0
60,28,723,2009,Type 1,4701,13,0
61,7,223,2047,Type 1,5379,17,0
62,33,1129,2232,Type 1,3435,13,0
63,24,1053,2308,Type 2,5185,15,0
64,25,1881,2095,Type 1,8174,13,0
65,25,201,2098,Type 1,4656,20,0
66,28,1081,2231,Type 1,2713,13,0
67,8,145,2245,Type 1,6730,16,0
68,21,163,2218,Type 1,11813,17,0
69,29,1129,1970,Type 1,8004,12,0
70,28,253,2415,Type 1,9943,18,0
71,0,66,2214,Type 1,2418,16,0
72,8,1593,2267,Type 1,6869,14,0
73,23,186,1955,Type 1,19472,17,0
74,6,641,2052,Type 2,2368,13,0
75,42,1125,2246,Type 1,22043,15,0
76,34,359,2044,Type 1,9885,19,0
77,24,410,2581,Type 1,6977,18,0
78,24,317,2463,Type 1,10792,19,0
79,4,178,2520,Type 1,17090,19,0
80,8,1158,2960,Type 2,289,20,0
81,7,131,2254,Type 1,4215,14,0
82,19,1158,2125,Type 1,3691,12,0
83,27,1462,2198,Type 1,3883,15,0
84,16,412,2218,Type 1,12587,17,0
85,29,800,1651,Type 1,3526,11,0
86,11,1259,2039,Type 1,3976,12,0
87,30,2117,2350,Type 2,8777,15,0
88,28,1975,2743,Type 2,2757,17,0
89,30,1074,1849,Type 1,2053,10,0
90,25,218,2125,Type 1,5451,17,0
91,3,133,2321,Type 1,2679,16,0
92,40,635,2411,Type 1,5017,16,0
93,0,152,0,Type 1,3733,0,0
94,22,871,2430,Type 1,6497,14,0
95,17,1708,2157,Type 1,5926,11,0
96,27,1745,2157,Type 1,8861,11,0
97,24,722,2046,Type 1,10031,9,0
98,35,778,1851,Type 1,12609,11,0
99,17,66,2301,Type 1,1659,18,0
100,20,287,0,Type 1,2412,0,0
101,24,222,2113,Type 1,4119,16,0
102,27,2059,2124,Type 1,8661,12,0
103,29,172,2106,Type 1,2021,16,0
104,29,562,2077,Type 1,4274,16,0
105,13,365,1923,Type 1,6205,13,0
106,28,1156,2091,Type 1,14422,16,0
107,13,98,2214,Type 1,876,16,0
108,12,354,2214,Type 1,3875,16,0
109,32,1332,2039,Type 1,4195,12,0
110,21,845,2076,Type 1,6031,12,0
111,19,1436,2229,Type 1,4697,14,0
112,3,95,2245,Type 1,9032,16,0
113,27,605,1972,Type 1,3247,13,0
114,18,1977,2960,Type 2,1346,20,0
115,18,820,0,Type 1,2234,0,0
116,14,1600,2265,Type 1,1804,13,0
117,22,356,2113,Type 1,7304,13,0
118,25,1732,2140,Type 2,5480,12,0
119,25,755,0,Type 1,13564,0,0
120,10,1085,2048,Type 1,16218,16,0
121,25,1043,2199,Type 1,1566,13,0
122,46,1916,1995,Type 2,4654,11,0
123,40,1193,2201,Type 2,7657,15,0
124,35,1566,2414,Type 1,1747,14,0
125,18,344,2568,Type 1,7458,19,0
126,18,1727,2482,Type 1,1984,13,0
127,26,1729,2381,Type 1,2261,13,0
128,28,714,2333,Type 1,24177,15,0
129,24,1011,2430,Type 1,2048,15,0
130,9,364,2268,Type 1,13814,17,0
131,11,2111,2776,Type 2,4656,14,0
132,0,421,0,,1666,0,0
133,33,177,2256,Type 1,15228,21,0
134,19,1820,2157,Type 1,6487,11,0
135,21,893,2247,Type 1,3292,13,0
136,36,785,2284,Type 1,347,13,0
137,19,165,0,Type 1,2692,0,0
138,36,796,2235,Type 1,2346,12,0
139,28,2048,2350,Type 2,10226,15,0
140,2,151,2191,Type 1,1097,17,0
141,19,1207,2247,Type 1,3198,13,0
142,8,251,2653,Type 1,12463,18,0
